name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
brazil,2022-07-01,26.5,11.7,19,26.5,11.7,19,7.6,50.9,0,0,0,,0,0,32.8,17.8,79.4,1018.6,19,10.9,225.2,19.6,8,10,2022-07-01T06:39:33,2022-07-01T17:51:49,0.09,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-02,26.2,13.6,20,26.2,13.6,20,9.6,53.4,0,0,0,,0,0,40.7,15.9,94,1020.4,30.6,10.9,223.6,19.4,8,10,2022-07-02T06:39:39,2022-07-02T17:52:06,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,83379099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-03,25.1,14.1,19,25.1,14.1,19,10.4,58.8,0,0,0,,0,0,40.3,17.3,111.2,1022.6,9.4,10.9,227.7,19.8,8,10,2022-07-03T06:39:44,2022-07-03T17:52:24,0.15,Clear,Clear conditions throughout the day.,clear-day,"86715099999,83379099999,SBBR,83378099999,86736099999,86716099999"
brazil,2022-07-04,23.7,13.6,18,23.7,13.6,18,7.6,52.8,0,0,0,,0,0,48.2,18.8,93.9,1021.8,31.9,10.9,230.5,20,8,10,2022-07-04T06:39:48,2022-07-04T17:52:41,0.19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"86715099999,83379099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-05,23.7,13.5,18.5,23.7,13.5,18.5,8.9,54.6,0,0,0,,0,0,40,14.4,91.2,1020.2,6.7,10.9,226.4,19.7,8,10,2022-07-05T06:39:51,2022-07-05T17:52:59,0.22,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-06,24.7,14.7,18.8,24.7,14.7,18.8,8.5,53.4,0,0,0,,0,0,28.4,14.8,68.7,1019.5,3.8,10.9,237.4,20.5,8,10,2022-07-06T06:39:54,2022-07-06T17:53:17,0.25,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-07,25.6,12.2,19.2,25.6,12.2,19.2,10,57.6,0,0,0,,0,0,29.2,15.2,79.4,1020.1,19.4,10.9,224.1,19.4,8,10,2022-07-07T06:39:55,2022-07-07T17:53:35,0.29,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-08,25.6,12.7,19.8,25.6,12.7,19.8,10.2,56.6,0,0,0,,0,0,33.8,12.3,108.4,1021.7,14,10.9,226,19.6,8,10,2022-07-08T06:39:56,2022-07-08T17:53:54,0.32,Clear,Clear conditions throughout the day.,clear-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-09,24.2,13.5,19,24.2,13.5,19,9.8,56.2,0,0,0,,0,0,38.5,16.6,101,1021.4,15,10.9,228.1,19.8,8,10,2022-07-09T06:39:55,2022-07-09T17:54:12,0.36,Clear,Clear conditions throughout the day.,clear-day,"86715099999,83379099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-10,24.1,14.5,18.9,24.1,14.5,18.9,9.5,55.2,0,0,0,,0,0,40.7,18.8,91,1019.9,13.7,10.9,227.3,19.6,8,10,2022-07-10T06:39:54,2022-07-10T17:54:31,0.39,Clear,Clear conditions throughout the day.,clear-day,"86715099999,83379099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-11,24,14.5,18.3,24,14.5,18.3,9.1,56.1,0,0,0,,0,0,39.2,14.5,63.3,1018.4,31.3,10.9,226.8,19.4,8,10,2022-07-11T06:39:52,2022-07-11T17:54:49,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2022-07-12,25.1,10.1,18.5,25.1,10.1,18.5,8.1,53.8,0,0,0,,0,0,19.4,11.5,90.4,1019.5,39.1,10.9,229.2,19.7,8,10,2022-07-12T06:39:49,2022-07-12T17:55:08,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
